,bri,car,fra,perm,por,x,y,label_kmeans,1st,ofm,label_pca,label_ofm
2546,-0.223319134,-1,-2.289238853,-2.429277618,-2.920606994,,,2,-0.663302797,-1.484544971,3,3
2547,-0.21683739,-1,-2.304358091,-2.770709922,-3.073203405,,,2,-0.665181611,-1.587951881,3,3
2548,-0.216450466,-1,-2.298386393,-2.803420567,-3.070851351,,,2,-0.664498374,-1.596815676,3,3
2549,-0.225312978,-0.999999999,-2.325535403,-2.631180463,-3.092589977,,,2,-0.671850214,-1.55080973,3,3
2550,-0.222748454,-1,-2.360658665,-2.619714561,-3.105983,,,2,-0.673394889,-1.550407205,3,3
2551,-0.225265168,-1,-2.35643177,-2.42680674,-3.162234512,,,2,-0.675644415,-1.496175412,3,3
2552,-0.225416021,-1,-2.377569992,-2.449833656,-3.16721107,,,2,-0.677492485,-1.504680674,3,3
2553,-0.22296448,-1,-2.393905809,-2.419742498,-3.233285002,,,2,-0.678990729,-1.498870015,3,3
2554,-0.223862373,-1,-2.440034626,-2.383245775,-3.246028341,,,2,-0.683266195,-1.492481378,3,3
2555,-0.206860468,-1,-2.436670798,-2.471237174,-3.167934064,,,2,-0.671579417,-1.513587138,3,3
2556,-0.211116836,-1,-2.451594815,-2.420809199,-3.210746086,,,2,-0.676124449,-1.501876572,3,3
2557,-0.220216739,-0.999999999,-2.468880185,-2.440143782,-3.231993107,,,2,-0.683126617,-1.510444008,3,3
2558,-0.222955087,-1,-2.516740701,-2.446845251,-3.340120808,,,2,-0.691061239,-1.519537871,3,3
2559,-0.222434032,-1,-2.511168513,-2.406994017,-3.260294641,,,2,-0.688254589,-1.50529314,3,3
2560,-0.221454613,-1,-2.525596872,-2.432449118,-3.375247504,,,2,-0.691762096,-1.516903474,3,3
2561,-0.225396362,-1,-2.536692499,-2.431190085,-3.376206616,,,2,-0.694844905,-1.517890692,3,3
2562,-0.224826182,-1,-2.524517044,-2.443984612,-3.408610587,,,2,-0.694444415,-1.521451004,3,3
2563,-0.222106957,-0.999999999,-2.534241285,-2.421035513,-3.505008164,,,2,-0.696073228,-1.517989312,3,3
2564,-0.222833756,-1,-2.487208678,-2.430398534,-3.499341441,,,2,-0.69278469,-1.516841595,3,3
2565,0.092262169,11.1748166,1.70121746,0.970565798,2.38447668,,,0,-0.002450642,6.001634378,2,1
2566,0.095982569,11.2437097,1.731788664,0.914976101,2.701111011,,,0,0.01017536,6.031221274,2,1
2567,0.100338435,11.27584355,1.767671847,0.873995248,3.044373629,,,0,0.024138803,6.048149419,2,1
2568,0.10571773,11.30481767,1.692993123,0.85074085,3.406824472,,,0,0.030797348,6.060415504,2,1
2569,0.111672459,11.3912352,1.6899861,0.865204073,3.742228842,,,0,0.042772315,6.116954957,1,1
2570,0.117531513,11.59391508,1.706091409,0.881669997,4.038814282,,,0,0.055544347,6.231819441,1,1
2571,0.124216909,12.02251529,1.635192876,1.000411788,4.261308272,,,0,0.061196804,6.478632123,1,1
2572,0.131509653,12.83183742,1.646630161,1.201631777,4.446108216,,,0,0.073862799,6.942556344,1,1
2573,0.1392173,13.87295793,1.672072592,1.442447377,4.610521423,,,0,0.08813463,7.532774951,1,1
2574,0.147667825,15.05198989,1.698228468,1.699540205,4.752664551,,,0,0.102794447,8.195190685,1,1
2575,0.156696495,16.17557482,1.724348237,2.024041937,4.896842559,,,0,0.11774165,8.849871046,1,1
2576,0.166510408,17.32634746,1.762241558,2.608605725,5.033592102,,,0,0.134301487,9.593917444,1,1
2577,0.17731258,18.36501493,1.806023494,3.451499006,5.152575432,,,0,0.151412158,10.35743412,1,1
2578,0.189999312,19.30072253,1.872470242,4.232367821,5.177875476,,,0,0.168483724,11.05169563,1,1
2579,0.20316051,19.97889889,1.978015728,4.626133125,5.238586771,,,0,0.188271358,11.51135094,1,1
2580,0.218003376,20.31064164,2.154469933,4.887488615,5.358641975,,,0,0.214549016,11.76952367,1,1
2581,0.234277393,20.68682514,2.335939617,5.274407966,5.527992438,,,0,0.243597864,12.08781537,1,1
